strategy_id,strategy_name,tc_id,quality_label,accuracy,completeness,readability,overall,summary,improvements,raw_text,parse_success
S3,System + Few-shot,TC-01,优秀,10.0,10.0,10.0,10.0,注释准确、完整、清晰，覆盖了算法原理、参数、返回值、复杂度、示例，且与代码完全一致，是高质量注释的典范。,[],"{
  ""accuracy"": 10,
  ""completeness"": 10,
  ""readability"": 10,
  ""overall"": 10.0,
  ""summary"": ""注释准确、完整、清晰，覆盖了算法原理、参数、返回值、复杂度、示例，且与代码完全一致，是高质量注释的典范。"",
  ""improvements"": []
}",True
S3,System + Few-shot,TC-02,中等,10.0,8.0,8.0,8.7,注释准确描述了函数行为、参数含义和异常情况，表达清晰。但缺少 Args/Returns 标准格式，未说明 price 类型和单位，也未提供示例。,"['采用 Args/Returns 标准文档格式，便于自动生成文档', '补充 price 参数的类型说明（如 float）和单位（如元）', '添加一个简单的使用示例，如 >>> calculate_discount(100, 0.2) 80.0']","{
  ""accuracy"": 10,
  ""completeness"": 8,
  ""readability"": 8,
  ""overall"": 8.7,
  ""summary"": ""注释准确描述了函数行为、参数含义和异常情况，表达清晰。但缺少 Args/Returns 标准格式，未说明 price 类型和单位，也未提供示例。"",
  ""improvements"": [
    ""采用 Args/Returns 标准文档格式，便于自动生成文档"",
    ""补充 price 参数的类型说明（如 float）和单位（如元）"",
    ""添加一个简单的使用示例，如 >>> calculate_discount(100, 0.2) 80.0""
  ]
}",True
S3,System + Few-shot,TC-03,较差,4.0,1.0,3.0,2.7,注释仅写'排序函数'，未说明算法名称（归并排序）、参数、返回值、时间复杂度等关键信息，对理解代码几乎没有帮助。,"['在 merge_sort 函数注释中说明这是归并排序算法，时间复杂度 O(n log n)，空间复杂度 O(n)', '补充 Args 和 Returns 说明参数 arr 的类型和返回值', '为 merge 函数添加注释，说明其合并两个已排序列表的逻辑']","{
  ""accuracy"": 4,
  ""completeness"": 1,
  ""readability"": 3,
  ""overall"": 2.7,
  ""summary"": ""注释仅写'排序函数'，未说明算法名称（归并排序）、参数、返回值、时间复杂度等关键信息，对理解代码几乎没有帮助。"",
  ""improvements"": [
    ""在 merge_sort 函数注释中说明这是归并排序算法，时间复杂度 O(n log n)，空间复杂度 O(n)"",
    ""补充 Args 和 Returns 说明参数 arr 的类型和返回值"",
    ""为 merge 函数添加注释，说明其合并两个已排序列表的逻辑""
  ]
}",True
S3,System + Few-shot,TC-04,中等,8.0,7.0,8.0,7.7,注释准确描述了函数行为，参数说明清晰，并给出了生产环境建议。但未说明返回类型、未提及哈希长度固定特性，且示例中盐值默认为空字符串存在安全隐患。,"['明确返回类型为 str（64字符十六进制字符串）', '警告盐值默认为空字符串的安全风险，建议强制要求提供盐值', '补充说明 SHA-256 输出固定为 256 位（32字节）']","{
  ""accuracy"": 8,
  ""completeness"": 7,
  ""readability"": 8,
  ""overall"": 7.7,
  ""summary"": ""注释准确描述了函数行为，参数说明清晰，并给出了生产环境建议。但未说明返回类型、未提及哈希长度固定特性，且示例中盐值默认为空字符串存在安全隐患。"",
  ""improvements"": [
    ""明确返回类型为 str（64字符十六进制字符串）"",
    ""警告盐值默认为空字符串的安全风险，建议强制要求提供盐值"",
    ""补充说明 SHA-256 输出固定为 256 位（32字节）""
  ]
}",True
S3,System + Few-shot,TC-05,优秀,10.0,10.0,10.0,10.0,注释准确、完整、可读性极佳。清晰说明了算法原理、优化效果、数列定义、参数、返回值、异常和示例，还贴心地提醒了内存占用问题。,[],"{
  ""accuracy"": 10,
  ""completeness"": 10,
  ""readability"": 10,
  ""overall"": 10.0,
  ""summary"": ""注释准确、完整、可读性极佳。清晰说明了算法原理、优化效果、数列定义、参数、返回值、异常和示例，还贴心地提醒了内存占用问题。"",
  ""improvements"": []
}",True
S4,System + Few-shot + CoT,TC-01,优秀,10.0,9.0,10.0,9.67,注释准确、完整、可读性高，仅缺少对空数组等边界情况的说明。,"['补充空数组或单元素数组的处理说明', '可注明数组必须升序，否则结果未定义']","**Step A - 准确性分析**：  
- 注释描述与代码完全一致，无错误或误导性表述。  
- 算法逻辑、参数说明、返回值、复杂度、示例均准确。  
- 准确性得分：10。

**Step B - 完整性分析**：  
理想注释应包含：函数目的、算法名称、参数类型与含义、返回值、边界条件、复杂度、示例。  
- 已覆盖：函数目的、算法名称、参数（含类型和有序要求）、返回值、复杂度、示例。  
- 缺失：未说明空数组或单元素数组的处理（代码中 left=0, right=-1 时循环不执行，返回 -1，行为正确但未提及）。  
- 完整性得分：9（仅缺一个边界说明）。

**Step C - 可读性分析**：  
- 语言清晰，结构合理，分块描述算法步骤、参数、返回值、复杂度、示例。  
- 使用列表符号和缩进，易于快速定位关键信息。  
- 可读性得分：10。

**Step D - 综合评分**：  
- accuracy: 10  
- completeness: 9  
- readability: 10  
- overall: (10+9+10)/3 = 9.67  
- summary: 注释准确、完整、可读性高，仅缺少对空数组等边界情况的说明。  
- improvements: [""补充空数组或单元素数组的处理说明"", ""可注明数组必须升序，否则结果未定义""]

```json
{
  ""accuracy"": 10,
  ""completeness"": 9,
  ""readability"": 10,
  ""overall"": 9.67,
  ""summary"": ""注释准确、完整、可读性高，仅缺少对空数组等边界情况的说明。"",
  ""improvements"": [""补充空数组或单元素数组的处理说明"", ""可注明数组必须升序，否则结果未定义""]
}
```",True
S4,System + Few-shot + CoT,TC-02,中等,10.0,6.0,7.0,7.7,注释准确无误，覆盖了基本功能、参数范围和异常，但缺少参数类型、示例和边界情况说明，结构可更规范。,"['添加参数类型标注，如 price (float), discount_rate (float)', '补充示例，如 >>> calculate_discount(100, 0.2) 80.0', '说明 price 应为非负数等边界条件', '采用标准文档字符串格式（如 Google 风格）以提高可读性']","**Step A - 准确性分析**：
- “计算折扣后的价格” → 准确。
- “discount_rate 是折扣比例，比如 0.2 表示打八折” → 准确，0.2 折扣率对应打八折（即支付原价的80%）。
- “如果输入的折扣率不在 0 到 1 之间会抛出异常” → 准确，代码中确实有 `raise ValueError`。
- “返回折后价格” → 准确。
- 无错误或误导性描述。

**Step B - 完整性分析**：
理想注释应包含：
1. 函数目的 ✅（已覆盖）
2. 参数说明（类型、含义、范围） ✅（已覆盖，但缺少类型标注）
3. 返回值说明 ✅（已覆盖）
4. 异常说明 ✅（已覆盖）
5. 示例（可选） ❌（缺失）
6. 边界情况说明（如 price 为负数） ❌（缺失）
7. 时间复杂度 ❌（缺失，但简单函数可省略）
- 主要缺失：缺少参数类型（如 `float`）、缺少示例、未说明 price 的合法性。

**Step C - 可读性分析**：
- 语言简洁清晰，但结构略显松散，未使用标准文档字符串格式（如 Google/NumPy 风格）。
- 信息点分散在自然语句中，不如结构化注释（如 Args/Returns/Raises）直观。
- 整体可读性良好，但可优化。

**Step D - 综合评分**：
- 准确性：10（完全正确）
- 完整性：6（缺少类型标注、示例、边界说明）
- 可读性：7（清晰但结构可优化）
- 总体：7.7

```json
{
  ""accuracy"": 10,
  ""completeness"": 6,
  ""readability"": 7,
  ""overall"": 7.7,
  ""summary"": ""注释准确无误，覆盖了基本功能、参数范围和异常，但缺少参数类型、示例和边界情况说明，结构可更规范。"",
  ""improvements"": [
    ""添加参数类型标注，如 price (float), discount_rate (float)"",
    ""补充示例，如 >>> calculate_discount(100, 0.2) 80.0"",
    ""说明 price 应为非负数等边界条件"",
    ""采用标准文档字符串格式（如 Google 风格）以提高可读性""
  ]
}
```",True
S4,System + Few-shot + CoT,TC-03,较差,5.0,1.0,2.0,2.7,注释仅写'排序函数'，虽然准确但极度不完整，没有说明算法名称、参数、返回值、复杂度等任何关键信息，对理解代码几乎没有帮助。,"['明确说明这是归并排序算法，并指出其时间复杂度为 O(n log n)', '补充 Args 和 Returns 部分，说明 arr 是待排序列表，返回排序后的新列表', '说明该排序是稳定的，且不是原地排序', '提供简单的使用示例']","**Step A - 准确性分析**：
注释仅写“排序函数”，没有具体描述算法名称（归并排序）、参数含义、返回值等。虽然“排序函数”这个说法本身没有错误，但过于笼统，没有提供任何关于归并排序的具体信息。注释没有错误，但严重不足。

**Step B - 完整性分析**：
理想注释应包含：
- 函数目的：归并排序算法
- 参数说明：arr (list) - 待排序的列表
- 返回值：排序后的新列表（非原地排序）
- 算法复杂度：O(n log n)
- 稳定性：稳定排序
- 示例用法
- 对辅助函数 merge 的说明

实际注释仅覆盖了“函数目的”中最宽泛的部分，其余全部缺失。

**Step C - 可读性分析**：
注释只有四个字，没有结构，没有关键信息，可读性极差。读者无法从注释中获取任何有用的信息。

**Step D - 综合评分**：
{
  ""accuracy"": 5,
  ""completeness"": 1,
  ""readability"": 2,
  ""overall"": 2.7,
  ""summary"": ""注释仅写'排序函数'，虽然准确但极度不完整，没有说明算法名称、参数、返回值、复杂度等任何关键信息，对理解代码几乎没有帮助。"",
  ""improvements"": [
    ""明确说明这是归并排序算法，并指出其时间复杂度为 O(n log n)"",
    ""补充 Args 和 Returns 部分，说明 arr 是待排序列表，返回排序后的新列表"",
    ""说明该排序是稳定的，且不是原地排序"",
    ""提供简单的使用示例""
  ]
}",True
S4,System + Few-shot + CoT,TC-04,中等,10.0,7.0,8.0,8.33,注释准确且包含安全提示，但缺少参数类型标注和示例，完整性略有不足。,"['为参数添加类型标注，如 password (str), salt (str)', ""添加一个简单的使用示例，如 >>> hash_password('mypassword', 'random_salt')"", '可补充说明：如果 password 不是字符串会引发 AttributeError']","**Step A - 准确性分析**：
- “对密码进行哈希处理以安全存储” → 准确，符合函数目的。
- “将密码与盐值拼接后用 SHA-256 算法计算哈希” → 准确，代码确实执行了拼接和 SHA-256 哈希。
- “参数: password: 用户输入的明文密码” → 准确。
- “salt: 可选的盐值，默认为空字符串” → 准确，函数签名中 salt="""" 确实默认为空字符串。
- “返回哈希后的十六进制字符串” → 准确，hexdigest() 返回十六进制字符串。
- “注意：生产环境建议使用 bcrypt 等专用密码哈希方案” → 准确且负责任，指出了安全局限性。
- 无错误或误导性描述。

**Step B - 完整性分析**：
理想注释应包含：
- [x] 函数目的（已覆盖）
- [x] 参数说明（已覆盖）
- [x] 返回值说明（已覆盖）
- [x] 安全注意事项（已覆盖）
- [ ] 参数类型（缺失：password 和 salt 的类型未明确标注，如 str）
- [ ] 示例用法（缺失：无 Example 或 >>> 示例）
- [ ] 时间复杂度（不适用，但可提及）
- [ ] 异常说明（缺失：未提及如果 password 不是字符串可能引发 AttributeError）
- 总体完整性较好，但缺少类型标注和示例。

**Step C - 可读性分析**：
- 语言清晰流畅，分段合理（目的、参数、返回值、注意事项）。
- 参数说明使用了列表形式，易于阅读。
- 缺少类型标注（如 `password (str)`）和示例，略微降低快速理解效率。
- 整体可读性良好，但可进一步优化。

**Step D - 综合评分**：
- 准确性：10（完全正确，无误导）
- 完整性：7（缺少类型、示例、异常说明）
- 可读性：8（清晰但缺少类型和示例）
- 总体：(10+7+8)/3 = 8.33

```json
{
  ""accuracy"": 10,
  ""completeness"": 7,
  ""readability"": 8,
  ""overall"": 8.33,
  ""summary"": ""注释准确且包含安全提示，但缺少参数类型标注和示例，完整性略有不足。"",
  ""improvements"": [
    ""为参数添加类型标注，如 password (str), salt (str)"",
    ""添加一个简单的使用示例，如 >>> hash_password('mypassword', 'random_salt')"",
    ""可补充说明：如果 password 不是字符串会引发 AttributeError""
  ]
}
```",True
S4,System + Few-shot + CoT,TC-05,优秀,10.0,8.0,9.0,9.0,注释准确、结构清晰，覆盖了函数目的、参数、返回值、异常和示例，但缺少空间复杂度说明，可进一步提示递归深度限制。,"['补充空间复杂度：Space Complexity: O(n)（缓存存储）', '在 Note 中提示递归深度限制（Python 默认约 1000），建议大 n 时改用迭代']","**Step A - 准确性分析**：
- “使用记忆化递归计算第 n 个斐波那契数（0-indexed）”：准确，函数确实返回第 n 个斐波那契数，且索引从 0 开始。
- “通过 @lru_cache 装饰器缓存已计算的子问题结果”：准确。
- “将朴素递归的时间复杂度从 O(2^n) 优化至 O(n)”：准确，每个子问题只计算一次，总计算量为 O(n)。
- “数列定义：F(0)=0, F(1)=1, F(n)=F(n-1)+F(n-2)”：准确。
- Args/Returns/Raises/Example/Note 描述均与代码行为一致，无错误或误导。

**Step B - 完整性分析**：
理想注释应包含：函数目的、参数说明、返回值、异常、时间复杂度、空间复杂度、示例、注意事项。
- 已覆盖：函数目的、参数说明、返回值、异常、示例、注意事项（内存占用）。
- 缺失：空间复杂度（O(n) 缓存空间），以及更详细的性能说明（如递归深度限制）。

**Step C - 可读性分析**：
- 语言清晰流畅，逻辑结构合理：先总述功能，再解释优化原理，然后给出数列定义，最后是参数/返回值/异常/示例/注意事项。
- 关键信息容易定位，格式规范（使用 Args/Returns/Raises/Example/Note 等标记）。
- 可读性良好，但 Note 部分可以更明确地指出递归深度限制问题。

**Step D - 综合评分**：
- 准确性：10（完全准确）
- 完整性：8（缺少空间复杂度说明）
- 可读性：9（结构清晰，但 Note 可更完善）
- 总体：9.0

```json
{
  ""accuracy"": 10,
  ""completeness"": 8,
  ""readability"": 9,
  ""overall"": 9.0,
  ""summary"": ""注释准确、结构清晰，覆盖了函数目的、参数、返回值、异常和示例，但缺少空间复杂度说明，可进一步提示递归深度限制。"",
  ""improvements"": [
    ""补充空间复杂度：Space Complexity: O(n)（缓存存储）"",
    ""在 Note 中提示递归深度限制（Python 默认约 1000），建议大 n 时改用迭代""
  ]
}
```",True
